Location,Post_Office,Postcode,State
Jabatan Bomba & Penyelamat,Kangar,01648,Perlis
Jabatan Perhutanan,Kangar,01660,Perlis
Jabatan Perhilitan,Kangar,01664,Perlis
Pos Malaysia Berhad,Kangar,01670,Perlis
Telekom Malaysia Berhad,Kangar,01672,Perlis
Tenaga Nasional Berhad,Kangar,01673,Perlis
Pegawai Kemajuan Negeri,Kangar,01674,Perlis
Jabatan Agama Islam Perlis,Kangar,01676,Perlis
Jabatan KeBudayaan & Kesenian,Kangar,01694,Perlis
Dewan Undangan Negeri,Kangar,01680,Perlis
Al Marhom Kayang,Kuala Perlis,02000,Perlis
Bohor Lateh,Kuala Perlis,02000,Perlis
Bohor Mali,Kuala Perlis,02000,Perlis
Bukit Puteh,Kuala Perlis,02000,Perlis
Bukit Tok Po,Kuala Perlis,02000,Perlis
Jalan Besar,Kuala Perlis,02000,Perlis
Jalan Lama Kuala Perlis (Batu 4),Kuala Perlis,02000,Perlis
Jalan Masjid,Kuala Perlis,02000,Perlis
Jalan Miri,Kuala Perlis,02000,Perlis
Jalan Panggong,Kuala Perlis,02000,Perlis
Jalan Serawak,Kuala Perlis,02000,Perlis
Jalan Siakap,Kuala Perlis,02000,Perlis
Jalan Simpang Empat (Batu 3 3/4 - 4 1/2),Kuala Perlis,02000,Perlis
Kampung Bahagia,Kuala Perlis,02000,Perlis
Kampung Bangsal Lebah,Kuala Perlis,02000,Perlis
Kampung Baru (Jalan Sarawak),Kuala Perlis,02000,Perlis
Kampung Baru Jeti,Kuala Perlis,02000,Perlis
Kampung Baru Tandiap,Kuala Perlis,02000,Perlis
Kampung Baru Tok Kuning,Kuala Perlis,02000,Perlis
Kampung Batu Buaya,Kuala Perlis,02000,Perlis
Kampung Batu Lima,Kuala Perlis,02000,Perlis
Kampung Behor Lateh,Kuala Perlis,02000,Perlis
Kampung Belakang Kilang,Kuala Perlis,02000,Perlis
Kampung Besar,Kuala Perlis,02000,Perlis
Kampung Bohor Ibus,Kuala Perlis,02000,Perlis
Kampung Bohor Lateh,Kuala Perlis,02000,Perlis
Kampung Bohor Mesjid,Kuala Perlis,02000,Perlis
Kampung Bohor Rotan Pahit,Kuala Perlis,02000,Perlis
Kampung Bohor Tui,Kuala Perlis,02000,Perlis
Kampung Bukit Papan,Kuala Perlis,02000,Perlis
Kampung Hujung Tanjung,Kuala Perlis,02000,Perlis
Kampung Kolam Raja,Kuala Perlis,02000,Perlis
Kampung Kota Kayang,Kuala Perlis,02000,Perlis
Kampung Kuala,Kuala Perlis,02000,Perlis
Kampung Kurung Tengar,Kuala Perlis,02000,Perlis
Kampung Langgar,Kuala Perlis,02000,Perlis
Kampung Nelayan,Kuala Perlis,02000,Perlis
Kampung Padang Besar Selatan,Kuala Perlis,02000,Perlis
Kampung Padang Cina,Kuala Perlis,02000,Perlis
Kampung Padang Jamil,Kuala Perlis,02000,Perlis
Kampung Pak Lengah,Kuala Perlis,02000,Perlis
Kampung Peladang,Kuala Perlis,02000,Perlis
Kampung Perak,Kuala Perlis,02000,Perlis
Kampung Pokok Asam,Kuala Perlis,02000,Perlis
Kampung Puju,Kuala Perlis,02000,Perlis
Kampung Pulau,Kuala Perlis,02000,Perlis
Kampung Pulau Ketam,Kuala Perlis,02000,Perlis
Kampung Seberang Alor,Kuala Perlis,02000,Perlis
Kampung Seberang Jaya,Kuala Perlis,02000,Perlis
Kampung Seberang Tok PI,Kuala Perlis,02000,Perlis
Kampung Sungai Mati,Kuala Perlis,02000,Perlis
Kampung Tandiap,Kuala Perlis,02000,Perlis
Kampung Tanjung Gelam,Kuala Perlis,02000,Perlis
Kampung Telok,Kuala Perlis,02000,Perlis
Kampung Tengah,Kuala Perlis,02000,Perlis
Kampung Tengah Bohor Lateh,Kuala Perlis,02000,Perlis
Kampung Terus Teritip,Kuala Perlis,02000,Perlis
Kampung Titi Serong,Kuala Perlis,02000,Perlis
Kampung Tok Kaya,Kuala Perlis,02000,Perlis
Kampung Tok Kuning,Kuala Perlis,02000,Perlis
Kampung Utan Ibus,Kuala Perlis,02000,Perlis
Kampung Wai,Kuala Perlis,02000,Perlis
Kampung Wang Pinang,Kuala Perlis,02000,Perlis
Kawasan Perindustrian Kuala Perlis,Kuala Perlis,02000,Perlis
Kuala Perlis,Kuala Perlis,02000,Perlis
Persiaran Putra Timur 1,Kuala Perlis,02000,Perlis
PPRT Tok Kuning,Kuala Perlis,02000,Perlis
Rancangan Perumahan Awam 2 KPS,Kuala Perlis,02000,Perlis
Sungai Berembang,Kuala Perlis,02000,Perlis
Sungai Manor,Kuala Perlis,02000,Perlis
Sungai Siput,Kuala Perlis,02000,Perlis
Taman Berlian,Kuala Perlis,02000,Perlis
Taman Bukit Kubu,Kuala Perlis,02000,Perlis
Taman Indera Indah,Kuala Perlis,02000,Perlis
Taman Kuala Perlis,Kuala Perlis,02000,Perlis
Taman Peladang Jaya,Kuala Perlis,02000,Perlis
Taman Semarak,Kuala Perlis,02000,Perlis
Taman Sentosa,Kuala Perlis,02000,Perlis
Taman Seri Bayu,Kuala Perlis,02000,Perlis
Taman Seri Semarak,Kuala Perlis,02000,Perlis
Taman Suria,Kuala Perlis,02000,Perlis
Kampung Petani,Padang Besar,02100,Perlis
kampung Tersusun (Batu 20),Padang Besar,02100,Perlis
Kem askar rimba Mab,Padang Besar,02100,Perlis
Kem UPP,Padang Besar,02100,Perlis
Klinik Kesihatan Jln Keretapi,Padang Besar,02100,Perlis
Kompleks Imigresen,Padang Besar,02100,Perlis
Kuarantin Haiwan,Padang Besar,02100,Perlis
Pejabat Felda Rimba Mas  FRM,Padang Besar,02100,Perlis
Pejabat Kastam,Padang Besar,02100,Perlis
Taman Bunga Cina,Padang Besar,02100,Perlis
Bukit Cabang,Padang Besar,02100,Perlis
Emas Kerajang,Padang Besar,02100,Perlis
Felcra Lubuk Sireh,Padang Besar,02100,Perlis
Felda Mata Ayer,Padang Besar,02100,Perlis
Felda Rimba Mas,Padang Besar,02100,Perlis
Gapura Square,Padang Besar,02100,Perlis
Jalan Padang Besar (Km 19),Padang Besar,02100,Perlis
Kampung Alor Dalam (Bukit Chabang),Padang Besar,02100,Perlis
Kampung Asmara,Padang Besar,02100,Perlis
Kampung Baru,Padang Besar,02100,Perlis
Kampung Baru Bukit Chabang,Padang Besar,02100,Perlis
Kampung Baru Jalan Sahabat,Padang Besar,02100,Perlis
Kampung Bukit Chabang,Padang Besar,02100,Perlis
Kampung Chantek,Padang Besar,02100,Perlis
Kampung Guar Tinggi (Titi Tinggi),Padang Besar,02100,Perlis
Kampung Kok Mak,Padang Besar,02100,Perlis
Kampung Kolam,Padang Besar,02100,Perlis
Kampung Masjid,Padang Besar,02100,Perlis
Kampung Melayu,Padang Besar,02100,Perlis
Kampung Padang Mawa,Padang Besar,02100,Perlis
Kampung Sahabat,Padang Besar,02100,Perlis
Kampung Sena,Padang Besar,02100,Perlis
Kampung Sungai Chuchuh,Padang Besar,02100,Perlis
Kampung Syed Abdan,Padang Besar,02100,Perlis
Kampung Titi Tinggi,Padang Besar,02100,Perlis
Kampung Titi Tinggi Hilir,Padang Besar,02100,Perlis
Kampung Titi Tinggi Ulu,Padang Besar,02100,Perlis
Kampung Tok Wan Nik,Padang Besar,02100,Perlis
Padang Besar,Padang Besar,02100,Perlis
Pusat Serenti Bukit Cabang,Padang Besar,02100,Perlis
Taman Kastam Baru,Padang Besar,02100,Perlis
Taman Kim,Padang Besar,02100,Perlis
Taman Kim 2,Padang Besar,02100,Perlis
Taman Perumahan Awam,Padang Besar,02100,Perlis
Taman Utara Jaya (Fasa 1 - 3),Padang Besar,02100,Perlis
Aked niaga,Padang Besar,02100,Perlis
Gapura squre,Padang Besar,02100,Perlis
Sekolah Menengah Padang Besar,Padang Besar,02100,Perlis
Taman Bunga Cempaka,Padang Besar,02100,Perlis
Taman Singgah Sana,Padang Besar,02100,Perlis
Jalan Padang Besar (Batu 16),Kaki Bukit,02200,Perlis
Kaki Bukit,Kaki Bukit,02200,Perlis
Kampung Tassoh,Kaki Bukit,02200,Perlis
Kampung Wang Kelian,Kaki Bukit,02200,Perlis
Taman Singgahsana,Kaki Bukit,02200,Perlis
Kampung Bilal Uduh,Kangar,02400,Perlis
Kampung Semadung,Kangar,02400,Perlis
Jalan Padang Melangit,Kangar,02400,Perlis
Kampung Baru Pangas,Kangar,02400,Perlis
Kampung Sungai Baru Serai,Kangar,02400,Perlis
Klinik Desa Batu 9,Kangar,02400,Perlis
Padang Lati,Kangar,02400,Perlis
Paya Batu 5,Kangar,02400,Perlis
Paya Senduk,Kangar,02400,Perlis
Paya Tengah,Kangar,02400,Perlis
Paya Besar,Kangar,02400,Perlis
Sekolah Menengah Semadung,Kangar,02400,Perlis
"Taman 20 ( F1, 2)",Kangar,02400,Perlis
Taman Bunga Geti,Kangar,02400,Perlis
Taman Haz Melati,Kangar,02400,Perlis
Kampung Penghulu Jaafar,Kangar,02400,Perlis
Kampung Perawah,Kangar,02400,Perlis
Kampung Raja Conggah,Kangar,02400,Perlis
Kampung Semadong,Kangar,02400,Perlis
Kampung Sena Rendang,Kangar,02400,Perlis
Kampung Simpang 3 Kilang Gula,Kangar,02400,Perlis
Kampung Simpang 3 Panggas,Kangar,02400,Perlis
Kampung Songla,Kangar,02400,Perlis
Kampung Sungai Buloh,Kangar,02400,Perlis
Kampung Sungai Jerneh,Kangar,02400,Perlis
Kampung Sungai Paya,Kangar,02400,Perlis
Kampung Sungai Serai,Kangar,02400,Perlis
Kampung Tanjong,Kangar,02400,Perlis
Kampung Titi Tampang,Kangar,02400,Perlis
Kampung Tunjong Beseri,Kangar,02400,Perlis
Kampung Wang Pisang,Kangar,02400,Perlis
Kampung Wang Tangga,Kangar,02400,Perlis
Kampung Wang Tengku Lembu,Kangar,02400,Perlis
Kilang Gula,Kangar,02400,Perlis
Lembaga Pertubuhan Peladang,Kangar,02400,Perlis
Lembaga Tembakau Negara,Kangar,02400,Perlis
Lubuk Besar,Kangar,02400,Perlis
